keys,en
event11-06,"-20The knight, terrified by the ghostly vision, makes the sign of the cross and takes his courage in both hands. He crushes you and takes a selfie with your unconscious body for his knight friends."
event11-07,-10What did you expected? Your dog breaks his teeth against the knight's armor. You empty your savings to heal your dog. I can't wait for social security for animals! 
event11-08,"010""It's... It's been days since I've eaten anything!"" "
event11-09,-10You put the knight back on his feet. But his shitty noble philosophy prevents him from feeling gratitude. Perhaps you are a miserable peasant after all!
event11-10,"-10After paying your tax to the knight, he finally feels sovereign over these lands and your people at the same as well. "
event11-11,"015You gave your gem to the knight, who started to cry when he saw it. This gem was the artifact he was seeking for ! You finish his adventure and continue your way."
event11-12,.......
event11-13,"-10""Finally! A worthy opponent! Our battle will be legendary!"" You are easily defeated after few strokes. The knight spared your life only because he was tired."
event12-base,You entered in a lost cabin in the woods. Then a Witch appeared in the void. It was her house! She is furious.
event12-01,"-50>12The stone you threw made her remember when she was stoned to death by villagers. In a frenzy of rage, she used the most dangerous dark magic she knew. You became unstable."
event12-02,"-40You try to kill her, but the Witch was a veteran who defeated uncountable number of knights who came to get her. She transformed you in a frog and you fled to save at least your soul. Outside the woods, you returned human."
event12-03,000You ran as fast as you can. You have heard that a witch can transform people in a frog !
event12-04,"-35You suddenly started meditating in front of her. Eyes closed, you heard a finger snap. When you opened your eyes, you were on a cliff. And of course you fell."
event12-05,"025You handed her a flower. She blushed and then started to shed tears, like someone who has never received a flower. She kissed you in return."
event12-06,"-20You called the Spirit to defeat the witch. Without saying a word, she snapped her finger and summoned more than ten Spirits. You get beat up by Spirits."
event12-07,"-30You called your dog, and she loved it... for her dinner menu. You were forced to have a meal with her, and the menu was Meat Stew."
event12-08,"-25You proposed her to have dinner with you, but it seems like it didn't work.. A wild breeze threw you outside the woods, and you noticed that your food was gone."
event12-09,"-25Starving and searching for homeplace, you begged the witch for food and a place to be safe. She said : ""Good. As return, you will be my test subject."" You got scared and fled the place."
event12-10,-15>06You asked for bargain and bought a Spirit with your coins. How dare you buy a Spirit ?
event12-11,"-20You threw the Gem to defeat the witch. Without saying a word, she snapped her finger and summoned a Spirit of Water. You get beat up by the Spirit."
event12-12,.......
event12-13,"-20You try to kill her, but the Witch was a veteran who defeated uncountable number of knights who came to get her. She transformed you in a frog and you fled to save at least your soul. Outside the woods, you returned human."
event13-base,"On your way, you saw a singing Minstrel. ""Oh, hello ! You must be another new fan."""
event13-01,"-20You threw a stone to the arrogant Ministrel. ""Hey, now I have a hater ! Every great artists have haters, so I am a Great Artist !"" You are annoyed."
event13-02,"-20You murdured the Minstrel. ""I am dying... Humanity lost the Greatest Artist today."" His last words made you crazy."
event13-03,-15You ran from the weakest human on earth. You have a heartacke.
event13-04,"005You started meditating. Your eyes closed, you can hear the Minstrel's music. You stayed a bit and continued on your way. "
event13-05,"012You gave a flower to the Ministel. His music was beautiful. He said, ""Thanks, thanks. I know, I'm the best.You still could be the second."""
event13-06,"-05You called the Spirit to punish this coward. He saw the Spirit and said : ""First time I see a Spirit ! I will make a song for him."" His new song was Awful.  "
event13-07,"010""I hate dogs !"" The Minstrel fled. Good Boy !"
event13-08,"010The Minstrel saw the food in your hand. ""Hey ! Must be a gift from a fan !"" But It wasn't. You ate all your food and the Minstrel watched it sadly. "
event13-09,"-30""A beggar ?! Get lost ! What a coward."" You got called a coward by the biggest coward of the century. You became sad."
event13-10,"-30You tossed him a coin and demanded for another song. But he said : ""Sorry ! This is the only one that I can play !"" You listen the same song again and again. It was tiring."
event13-11,"020You handed him a Gem. ""Oh, a worthy accesory for the Great Artist !"" Few moments later the Gem exploded and Blasted the Minstrel."
event13-12,.......
event13-13,"-05You murdured the Minstrel. ""I am dying... Humanity lost the Greatest Artist today."" His last words made you crazy."
event14-base,A friendly German tourist waves at you! This invader from across the Rhine probably got lost on his way to Poland. You also hear the German anthem from far away... Where does this music come from?
event14-01,010You got that damn German! If only the French knew their weakness for minerals!
event14-02,"-20The German adorns your sword with his golden eagle hidden under his coat. The German, with his arm raised, slaps you. Another defeat."
event14-03,"-30You try to run away from this madman. The German looks at you dumbfounded, he does not pursue you, but the German hymn does not seem to diminish. Was it all in your head?"
event14-04,-20You try to meditate but the German keeps talking about materialist dialectics and Hegelian thought. You come out of your meditation in a rage and pull the German's stupid mustache. It ruined your good mood of the day!
event14-05,"-30You sympathize with the enemy. Between two sausages and sauerkraut he tells you about his trip to Austria. You don't give a damn but listen anyway. You have wasted a lot of time, and you end up drunk on beer in a gutter. "
event14-06,-20The German speaks with your mind about his native Bavaria. Your mind is dying of boredom and would rather end up in nothingness than listen to one more sentence from the Bavarian. Your friend is nothing more than a filthy purple flask.
event14-07,-30The German yells dog to sit down in his wild dialect. Your faithful dog obeys his command. Another conquest that freedom has not stopped...
event14-08,010You share a good meal and gorge yourself on sauerkraut. German culture is sometimes good! Is peace between peoples possible?
event14-09,"-30You hold out your hand to the German, he shakes it and you feel his hand moist and dripping with mayonnaise in your palm. Out of politeness you do not wipe your hands. You feel dirty for the rest of the day.
"
event14-10,-40You buy a Mercedes from the German. You increase the trade deficit of your country! The trade crisis turns into an economic recession and you lose your job. But at least you drive in style!
event14-11,"20The German takes your gemstone, looks at it carefully and then leaves with it. When he comes back, it's with a wheelbarrow of gems! He has succeeded in industrializing the production of gems with Rhine coal. "
event14-12,.......
event14-13,"40The green sword tears the German in two. His body lies on the ground, fertilizing the earth for better seasons. It was the best thing that could have happened to him."
event15-base,"In a forest, you saw a small, and strangely cute ghost. "
event15-01,"015You threw a stone to get rid of this tiny abomination. The rock passes through the ghost, which disappears. "
event15-02,035You shaked your sword but it was useless as expected... until the spirit started to dance at the rythm of your sword. Your heart got warmer. 
event15-03,"-10You was freaked out and ran off. When you stopped, you felt like you ran for nothing. You lost your self-esteem."
event15-04,000>03You started to meditate. The tiny spirit spinned around your head. You replenished enough forces to run again.
event15-05,025>06You gave a flower to the cute spirit. he loves it. He decided to come with you !
event15-06,000>04The nice Spirit and the tiny spirit sang a spiritual song. It opened your sight over the limits of present dimension. Now you truly know how to meditate.
event15-07,"000The dog barks and runs off, scared by the ghost"
event15-08,005The ghost looked at your food and left. You eat the food alone.
event15-09,-05The ghost is disgusted by your sweaty hands and starts to emit a shrilling noise.
event15-10,025>06Wow ! This spirit accepted your coin and now wants to come with you. It must be a Spirit of Capitalism.
event15-11,-20>13You gave a Red Gem to the spirit. The spirit transformed it into a legendary sword ! But why is it green ? You are confused.
event15-12,.......
event15-13,035You shaked your sword but it was useless as expected... until the spirit started to dance at the rythm of your sword. Your heart got warmer. 
,
,
event16-base,"A little leprechaun threatens you by waving his little dagger. This little jerk throws you with from his 45 centimeters ""Let my blade taste your BLOOD!"" It takes you a while to figure out what he's saying in his high-pitched voice. "
event16-01,"020You drop a simple stone over the goblin's head. ""Aaaarg !!! A Meteor !!!"" The stone crushed the leprechaun."
event16-02,"-10The leprechaun dodged your first attack and scratched your ankle. While it's running off, you heal this light wound."
event16-03,030The leprechaun is trying to chase you with his little legs. He is too slow and you hear him screaming in rage. You even allow yourself the luxury of going back on your steps to drop a few slurs on him. 
event16-04,"-30The goblin approaches you and tries to cut your throat. You get up and he clings to your neck, you get out of the way but suffer a few stabs. "
event16-05,-30The leprechaun takes advantage of the fact that you are holding out the flower to stab your hand. You still manage to run away but you cry your mother because of pain.
event16-06,-30Your mind remembers that he was killed by this Leprechaun! He crushes him with such savagery that you leave this encounter traumatized. It will take you a few years of therapy to recover.
event16-07,020The dog gulped down the leprechaun. 
event16-08,"-10The leprechaun stole your food. It moved so fast, you could barely see it. "
event16-09,010The leprechaun jumps and tries to cut your hands. You throw him a kick.
event16-10,"-30The leprechaun tries to take your money, but barely gets to carry one coin. It gets angry and jumps at your neck to stab you. you bleed profusely but you manage to heal yourself after a few hours of care."
event16-11,"010""The sacred gem of my people"" says the leprechaun. It lets you pass."
event16-12,.......
event16-13,"-10The goblin dodged your first attack and scratched your ankle. While it's running off, you heal this light wound"
